Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,Time_sec,location_short,time,SEL_dB,tags,type,operator
Mon 01:00:01 PM,52.2892,6.7373,← 288°,387.0,445.0,"24,800","-1,929",FlightAware ADS-B (RTM / EHRD),Arrivals,DLH998,2025-03-24 18:38:40,46801,Co,2025-03-24 17:21:27,65.24489170601552,Aalsmeerbaan36R_L,Airbus A320 214,Delta Air Lines
Mon 01:00:02 PM,61.5622,8.8544,↙ 201°,451.0,519.0,"34,525","1,025",FlightAware ADS-B (OSL / ENGM),Arrivals,KLM1154,2025-03-24 19:37:57,46802,Co,2025-03-24 18:26:11,78.70960615852167,Zwanenburgbaan36C_L,Embraer ERJ 190-100 STD,KLM
Mon 01:00:06 PM,48.4465,11.6344,↑ 349°,278.0,320.0,"9,575","4,025",FlightAware ADS-B (EDPA),Arrivals,KLM1856,2025-03-24 19:18:23,46806,Da,2025-03-24 10:30:35,75.06570672205123,Aalsmeerbaan36R_L,Embraer ERJ190-100STD,KLM
Mon 01:00:08 PM,59.1793,17.0563,↙ 221°,400.0,460.0,"22,300","2,125",FlightAware ADS-B (BMA / ESSB),Arrivals,KLM1224,2025-03-24 19:37:57,46808,Co,2025-03-24 20:57:38,80.72031320050314,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 01:00:10 PM,51.4701,5.2935,↓ 163°,426.0,490.0,"27,450","1,575",FlightAware ADS-B (EHDP),Departures,KLM1937,2025-03-24 18:18:57,46810,Co,2025-03-24 09:39:53,80.09091481043761,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 01:00:13 PM,50.301,5.0421,↖ 332°,458.0,527.0,"35,450","-1,475",FlightAware ADS-B (ORY / LFPO),Arrivals,KLM596,2025-03-24 18:38:40,46813,Ku,2025-03-24 17:26:41,71.32310002002386,Aalsmeerbaan36R_L,Boeing 787-9,KLM
Mon 01:00:18 AM,36.2193,142.7282,↗ 46°,528.0,608.0,"26,650",850,FlightAware ADS-B (NRT / RJAA),Arrivals,KLM862,2025-03-24 19:18:23,3618,Co,2025-03-24 18:05:45,80.88888789846152,Zwanenburgbaan36C_L,Boeing 777-200,KLM
Mon 01:00:23 PM,56.0785,4.5919,↓ 184°,464.0,534.0,"38,000",-368,FlightAware ADS-B (SVG / ENZV),Arrivals,KLM1158,2025-03-24 18:58:16,46823,Co,2025-03-24 18:26:11,78.70960615852167,Zwanenburgbaan36C_L,Embraer ERJ 190-100 STD,KLM
Mon 01:00:28 PM,49.19,14.5892,← 310°,454.0,522.0,"35,875","1,056",FlightAware ADS-B (EDNX),Arrivals,KLM1906,2025-03-24 19:37:57,46828,Da,2025-03-24 13:27:39,78.855953140375,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 01:00:29 PM,51.602,4.4481,↓ 198°,454.0,522.0,"24,350","1,925",FlightAware ADS-B (EIN / EHEH),Departures,TRA6145,2025-03-24 18:18:57,46829,Co,2025-03-24 14:32:41,80.80796506619579,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
